순위,영화명,개봉일,매출액,관객수,스크린수
1,어벤져스: 엔드게임,2019-04-24,1.22183E+11,13934592,2835
2,겨울왕국 2,2019-11-21,1.1481E+11,13747792,2648
3,아바타,2009-12-17,1.28447E+11,13624328,912
4,알라딘,2019-05-23,1.06984E+11,12555894,1311
5,어벤져스: 인피니티 워,2018-04-25,99919006769,11211880,2553
6,어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,10494499,1843
7,겨울왕국,2014-01-16,82461504400,10296101,1010
8,인터스텔라,2014-11-06,82291089200,10275484,1342
9,보헤미안 랩소디,2018-10-31,86280975785,9948386,936
10,아이언맨 3,2013-04-25,70806191000,9001309,1381
11,캡틴 아메리카: 시빌 워,2016-04-27,72672111827,8677249,1991
12,탑건: 매버릭,2022-06-22,87812465880,8172852,1975
13,스파이더맨: 파 프롬 홈,2019-07-02,69009271100,8021064,2142
14,트랜스포머 3,2011-06-29,74841350500,7784807,1409
15,미션임파서블:고스트프로토콜,2011-12-15,57795846000,7575899,1038
16,스파이더맨: 노 웨이 홈,2021-12-15,75193912210,7551990,2948
17,트랜스포머: 패자의 역습,2009-06-24,51478531663,7505700,1129
18,트랜스포머,2007-06-28,0,7440531, 160
19,스파이더맨: 홈 커밍,2017-07-05,59125813820,7258678,1965
20,어벤져스,2012-04-26,59557853478,7074867,967
21,미션 임파서블: 폴아웃,2018-07-25,55888375112,6584915,1957
22,다크 나이트 라이즈,2012-07-19,47644838000,6396528,1210
23,킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,6129681,706
24,미션 임파서블: 로그네이션,2015-07-30,48547353607,6126488,1202
25,반지의 제왕 : 왕의 귀환,2003-12-17,0,5960000, 105
26,인셉션,2010-07-21,44106546302,5926948,528
27,레미제라블,2012-12-19,43044999000,5911890,696
28,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,62648830870,5884600,2691
29,캡틴 마블,2019-03-06,51491272223,5801069,2100
30,미션 임파서블 3,2006-05-03,0,5740789, 134
31,쥬라기 월드: 폴른 킹덤,2018-06-06,49770711037,5661128,1972
32,쥬라기 월드,2015-06-11,47800698826,5546792,1290
33,2012,2009-11-12,39415166660,5462953,789
34,앤트맨과 와스프,2018-07-04,47465443185,5447826,1775
35,닥터 스트레인지,2016-10-26,47482530396,5446379,1503
36,블랙 팬서,2018-02-14,45883143457,5398994,1620
37,트랜스포머: 사라진 시대,2014-06-25,44012272845,5295801,1602
38,조커,2019-10-02,45443092130,5255308,1418
39,월드 워 Z,2013-06-20,38555357000,5237525,964
40,반지의 제왕 : 두개의 탑,2002-12-19,0,5183000, 79
41,미녀와 야수,2017-03-16,42132589579,5138193,1627
42,쿵푸팬더 2,2011-05-26,44298724500,5062722,948
43,아쿠아맨,2018-12-19,44113456704,5038134,1285
44,인사이드 아웃,2015-07-09,38024694936,4969735,777
45,캐리비안의 해적: 세상의 끝에서,2007-05-23,0,4966571, 244
46,킹스맨: 골든 서클,2017-09-27,40987484736,4945484,1687
47,스파이더맨 3,2007-05-01,0,4935660, 198
48,마션,2015-10-08,39663145295,4880800,1132
49,토르: 라그나로크,2017-10-25,39248432595,4857152,1640
