순위,영화명,개봉일,매출액,관객수,스크린수
1,명량,2014-07-30,"135,748,398,910","17,613,682","1,587"
2,극한직업,2019-01-23,"139,647,979,516","16,264,944","1,978"
3,신과함께-죄와 벌,2017-12-20,"115,698,654,137","14,410,754","1,912"
4,국제시장,2014-12-17,"110,913,469,630","14,257,115",966
5,베테랑,2015-08-05,"105,168,155,250","13,414,009","1,064"
6,괴물,2006-07-27,0,"13,019,740", 167
7,도둑들,2012-07-25,"93,665,568,500","12,983,330","1,072"
8,7번방의 선물,2013-01-23,"91,431,914,670","12,811,206",787
9,암살,2015-07-22,"98,463,132,781","12,705,700","1,519"
10,범죄도시2,2022-05-18,"131,296,328,978","12,693,239","2,498"
11,"광해, 왕이 된 남자",2012-09-13,"88,900,208,769","12,319,542",810
12,왕의 남자,2005-12-29,0,"12,302,831", 94
13,신과함께-인과 연,2018-08-01,"102,666,146,909","12,274,996","2,235"
14,택시운전사,2017-08-02,"95,855,737,149","12,186,684","1,906"
15,태극기 휘날리며,2004-02-05,0,"11,746,135", 110
16,부산행,2016-07-20,"93,178,283,048","11,565,479","1,788"
17,해운대,2009-07-22,"81,934,638,201","11,453,338",753
18,변호인,2013-12-18,"82,871,759,300","11,374,610",923
19,실미도,2003-12-24,0,"11,081,000", 83
20,기생충,2019-05-30,"87,459,829,095","10,313,086","1,948"
21,검사외전,2016-02-03,"77,319,445,264","9,707,158","1,812"
22,엑시트,2019-07-31,"79,232,212,162","9,426,051","1,660"
23,설국열차,2013-08-01,"67,010,077,500","9,349,991","1,128"
24,관상,2013-09-11,"66,005,451,500","9,134,586","1,190"
25,해적: 바다로 간 산적,2014-08-06,"66,370,682,706","8,666,046",838
26,수상한 그녀,2014-01-22,"62,696,639,249","8,656,397",692
27,국가대표,2009-07-29,"60,896,633,308","8,487,894",580
28,디워,2007-08-01,0,"8,426,973", 148
29,백두산,2019-12-19,"69,825,366,300","8,252,669","1,971"
30,과속스캔들,2008-12-03,"53,940,101,534","8,245,523",405
31,웰컴 투 동막골,2005-08-04,0,"8,008,622", 114
32,공조,2017-01-18,"63,781,731,326","7,817,446",976
33,히말라야,2015-12-16,"60,173,583,015","7,759,473","1,009"
34,밀정,2016-09-07,"61,269,783,831","7,500,420","1,444"
